Week,Focus Area,Topics
1,Java basics,"1. What is java
2. OOPS concepts
3. Collections"
2,Spring MVC,"1. what is Spring MVC and how it works.
1.1. understand the MVC model
1.2. practice small project
1.3. understand the flow
2. what is API, how it works"
3,,
4,,
5,,
6,,
